Date,Attribute,Value
4/1/1980,New South Wales,5.5289025
4/1/1980,Victoria,5.8677671
4/1/1980,Queensland,7.3622758
4/1/1980,South Australia,7.689987
4/1/1980,Western Australia,6.2686609
4/1/1980,Tasmania,6.6052897
4/1/1980,Northern Territory,2.9170244
4/1/1980,Australian Capital Territory,4.7215326
5/1/1980,Australia,6.2268607
5/1/1980,New South Wales,5.7664169
5/1/1980,Victoria,5.7961054
5/1/1980,Queensland,6.9062712
5/1/1980,South Australia,8.4398356
5/1/1980,Western Australia,6.1099167
5/1/1980,Tasmania,6.3045195
5/1/1980,Northern Territory,3.4260113
5/1/1980,Australian Capital Territory,6.7623914
6/1/1980,Australia,6.1285339
6/1/1980,New South Wales,5.4744163
6/1/1980,Victoria,6.0063998
6/1/1980,Queensland,6.879743
6/1/1980,South Australia,8.0536821
6/1/1980,Western Australia,6.1455242
6/1/1980,Tasmania,6.1415951
6/1/1980,Northern Territory,2.121989
6/1/1980,Australian Capital Territory,6.6358457
7/1/1980,Australia,5.7843135
7/1/1980,New South Wales,5.3277801
7/1/1980,Victoria,5.7273805
7/1/1980,Queensland,6.0786142
7/1/1980,South Australia,7.5279236
7/1/1980,Western Australia,6.0058835
7/1/1980,Tasmania,5.1584414
7/1/1980,Northern Territory,2.3850324
7/1/1980,Australian Capital Territory,5.8748708
8/1/1980,Australia,5.9095079
8/1/1980,New South Wales,5.4893842
8/1/1980,Victoria,5.7521566
8/1/1980,Queensland,5.9919904
8/1/1980,South Australia,7.98814
8/1/1980,Western Australia,6.2649056
8/1/1980,Tasmania,5.1701649
8/1/1980,Northern Territory,4.603277
8/1/1980,Australian Capital Territory,5.3109557
9/1/1980,Australia,6.0223764
9/1/1980,New South Wales,5.5234241
9/1/1980,Victoria,5.9950028
9/1/1980,Queensland,6.1440412
9/1/1980,South Australia,8.2962258
9/1/1980,Western Australia,5.8329547
9/1/1980,Tasmania,5.6992508
9/1/1980,Northern Territory,4.6843591
9/1/1980,Australian Capital Territory,5.9919492
10/1/1980,Australia,5.6503626
10/1/1980,New South Wales,5.0376177
10/1/1980,Victoria,5.8220986
10/1/1980,Queensland,5.5434268
10/1/1980,South Australia,7.75444
10/1/1980,Western Australia,5.85578
10/1/1980,Tasmania,5.8136206
10/1/1980,Northern Territory,4.5875725
10/1/1980,Australian Capital Territory,4.5828774
11/1/1980,Australia,5.3664835
11/1/1980,New South Wales,5.0610289
11/1/1980,Victoria,5.3249737
11/1/1980,Queensland,5.2553681
11/1/1980,South Australia,7.285058
11/1/1980,Western Australia,5.1263064
11/1/1980,Tasmania,5.9162353
11/1/1980,Northern Territory,3.8962325
11/1/1980,Australian Capital Territory,4.2831404
12/1/1980,Australia,6.3493654
12/1/1980,New South Wales,5.730933
12/1/1980,Victoria,6.4818896
12/1/1980,Queensland,6.7144399
12/1/1980,South Australia,7.5251686
12/1/1980,Western Australia,6.5756421
12/1/1980,Tasmania,7.4065733
12/1/1980,Northern Territory,4.0511958
12/1/1980,Australian Capital Territory,5.7550571
1/1/1981,Australia,6.488085
1/1/1981,New South Wales,6.093172
1/1/1981,Victoria,6.0535251
1/1/1981,Queensland,7.0268284
1/1/1981,South Australia,8.3706447
1/1/1981,Western Australia,6.5137261
1/1/1981,Tasmania,7.1093066
1/1/1981,Northern Territory,5.2479693
1/1/1981,Australian Capital Territory,6.2655904
2/1/1981,Australia,6.3037577
2/1/1981,New South Wales,5.7968133
2/1/1981,Victoria,6.3565846
2/1/1981,Queensland,6.4539929
2/1/1981,South Australia,7.6459873
2/1/1981,Western Australia,6.3516356
2/1/1981,Tasmania,6.6846574
2/1/1981,Northern Territory,3.4390995
2/1/1981,Australian Capital Territory,8.2840145
3/1/1981,Australia,6.0418269
3/1/1981,New South Wales,5.5029202
3/1/1981,Victoria,6.0899207
3/1/1981,Queensland,6.2268525
3/1/1981,South Australia,7.35097
3/1/1981,Western Australia,6.2407401
3/1/1981,Tasmania,6.9022868
3/1/1981,Northern Territory,3.8414821
3/1/1981,Australian Capital Territory,6.484994
4/1/1981,Australia,5.5758833
4/1/1981,New South Wales,5.1195903
4/1/1981,Victoria,5.3571805
4/1/1981,Queensland,5.9320209
4/1/1981,South Australia,7.644564
4/1/1981,Western Australia,5.3278682
4/1/1981,Tasmania,6.0045179
4/1/1981,Northern Territory,5.5160409
4/1/1981,Australian Capital Territory,4.9364283
5/1/1981,Australia,5.5847502
5/1/1981,New South Wales,4.9658995
5/1/1981,Victoria,5.7202747
5/1/1981,Queensland,5.5574607
5/1/1981,South Australia,7.6727887
5/1/1981,Western Australia,5.5049064
5/1/1981,Tasmania,5.2866955
5/1/1981,Northern Territory,5.0531549
5/1/1981,Australian Capital Territory,6.5666957
6/1/1981,Australia,5.2259643
6/1/1981,New South Wales,4.3761572
6/1/1981,Victoria,5.2854533
6/1/1981,Queensland,5.4169699
6/1/1981,South Australia,7.3479848
6/1/1981,Western Australia,5.4390961
6/1/1981,Tasmania,6.1444365
6/1/1981,Northern Territory,6.4332326
6/1/1981,Australian Capital Territory,5.6511973
7/1/1981,Australia,5.5593825
7/1/1981,New South Wales,4.8962775
7/1/1981,Victoria,5.3676654
7/1/1981,Queensland,5.580893
7/1/1981,South Australia,8.0736035
7/1/1981,Western Australia,5.5042408
7/1/1981,Tasmania,7.3462918
7/1/1981,Northern Territory,5.8237406
7/1/1981,Australian Capital Territory,6.0416475
8/1/1981,Australia,5.6176565
8/1/1981,New South Wales,4.8004846
8/1/1981,Victoria,5.5258406
8/1/1981,Queensland,5.7654995
8/1/1981,South Australia,7.9998963
8/1/1981,Western Australia,6.2042705
8/1/1981,Tasmania,7.2434788
8/1/1981,Northern Territory,3.0403361
8/1/1981,Australian Capital Territory,5.5841133
9/1/1981,Australia,5.7123237
9/1/1981,New South Wales,5.0053355
9/1/1981,Victoria,5.8666596
9/1/1981,Queensland,5.3665726
9/1/1981,South Australia,7.7726202
9/1/1981,Western Australia,6.3936653
9/1/1981,Tasmania,7.0240461
9/1/1981,Northern Territory,2.4693223
9/1/1981,Australian Capital Territory,6.1856311
10/1/1981,Australia,5.4841132
10/1/1981,New South Wales,4.9454316
10/1/1981,Victoria,5.2182445
10/1/1981,Queensland,5.3687794
10/1/1981,South Australia,8.1045458
10/1/1981,Western Australia,5.6941734
10/1/1981,Tasmania,7.0498726
10/1/1981,Northern Territory,4.8202744
10/1/1981,Australian Capital Territory,4.623499
11/1/1981,Australia,5.5082058
11/1/1981,New South Wales,5.3308195
11/1/1981,Victoria,5.0213242
11/1/1981,Queensland,5.1320237
11/1/1981,South Australia,7.5296328
11/1/1981,Western Australia,6.0412385
11/1/1981,Tasmania,6.5668947
11/1/1981,Northern Territory,6.3710258
11/1/1981,Australian Capital Territory,4.4579876
12/1/1981,Australia,6.3009017
12/1/1981,New South Wales,5.7086923
12/1/1981,Victoria,5.9027846
12/1/1981,Queensland,6.4445926
12/1/1981,South Australia,8.0533311
12/1/1981,Western Australia,7.2247914
12/1/1981,Tasmania,9.0128494
12/1/1981,Northern Territory,3.7654637
